mode,trace,step,step_instances,step_tokens,prefill_sequences,decode_sequences,block,frame,op,input_dims,input_types,kernel,grid,block_dims,graph,count,total_us,mean_us,min_us,max_us
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,norm,ir/ops/layernorm.py:43 fused_add_rms_norm,aten::copy_,"[[1,5120],[1,5120],[]]","[""c10::BFloat16"",""float"",""Scalar""]","void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",5x1x1,128x1x1,False,1792,1639.3820000000042,0.9148337053571451,0.863,1.6
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,gdn,model_executor/parameter.py:122 __torch_function__,aten::mm,"[[1,5120],[5120,96]]","[""c10::BFloat16"",""c10::BFloat16""]",nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT,2x3x1,384x1x1,False,336,1604.655,4.775758928571428,4.545,5.856
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,norm,ir/ops/layernorm.py:43 fused_add_rms_norm,aten::mul,"[[1,5120],[1,1]]","[""float"",""float""]","void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",20x1x1,128x1x1,False,896,1431.646999999993,1.5978203124999923,1.472,2.432
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,attention,model_executor/kernels/linear/scaled_mm/flashinfer.py:184 apply_block_scaled_mm,vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[1,6144],[5120,6144],[40,48],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]","void deep_gemm::fp8_gemm_kernel_swapAB<5120u, 6144u, 128u, 16u, 128u, 1u, 8u, 128u, 128u, 1u, deep_gemm::NormalSchedulerSwapAB<5120u, 128u, 16u, 1u, 1u, 40u, 16u>, deep_gemm::NormalSchedulerInputSwapAB>(__nv_bfloat16*, float*, deep_gemm::NormalSchedulerInputSwapAB, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)",132x1x1,384x1x1,False,112,1281.3499999999997,11.440624999999997,11.008,12.608
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,attention,vllm_flash_attn/flash_attn_interface.py:176 flash_attn_varlen_func,_vllm_fa3_C::fwd,"[[1,24,256],[2052,784,4,256],[2052,784,4,256],[],[],[],[1,24,256],[2],[],[],[],[1],[],[],[1,48],[],[],[],[],[],[1,4],[1,4],[1,4],[],[],[],[],[],[],[9],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16"",""int"","""","""","""",""int"",""Scalar"",""Scalar"",""int"","""","""","""","""","""",""float"",""float"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""int"",""Scalar"","""",""Scalar"","""",""Scalar"",""Scalar"",""""]","void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1> >, cute::tuple<cute::C<128>, cute::C<80>, cute::C<256> >, 256, cutlass::bfloat16_t, float, cutlass::arch::Sm90, false, false, false, true, true, false, false, true, true, true, true, false, cutlass::bfloat16_t, 1>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<128>, cute::C<256>, cute::C<80> >, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1> >, cutlass::bfloat16_t, cutlass::arch::Sm90, 256, true, true, true, false, 1>, flash::VarlenDynamicPersistentTileScheduler<128, 80, 256, 128, true, true, true, false, false, true> > > >(flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1> >, cute::tuple<cute::C<128>, cute::C<80>, cute::C<256> >, 256, cutlass::bfloat16_t, float, cutlass::arch::Sm90, false, false, false, true, true, false, false, true, true, true, true, false, cutlass::bfloat16_t, 1>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<128>, cute::C<256>, cute::C<80> >, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1> >, cutlass::bfloat16_t, cutlass::arch::Sm90, 256, true, true, true, false, 1>, flash::VarlenDynamicPersistentTileScheduler<128, 80, 256, 128, true, true, true, false, false, true> > >::Params)",132x1x1,384x1x1,False,112,1209.1580000000006,10.796053571428576,9.984,11.552
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,norm,ir/ops/layernorm.py:43 fused_add_rms_norm,aten::rsqrt,"[[1,1]]","[""float""]","void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",1x1x1,128x1x1,False,896,967.8840000000016,1.0802276785714304,0.895,1.983
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,norm,ir/ops/layernorm.py:43 fused_add_rms_norm,aten::mul,"[[1,5120],[5120]]","[""float"",""float""]","void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",5x1x1,128x1x1,False,896,940.5850000000003,1.0497600446428574,0.991,1.888
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,norm,ir/ops/layernorm.py:43 fused_add_rms_norm,aten::add,"[[1,5120],[1,5120],[]]","[""float"",""float"",""Scalar""]","void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",5x1x1,128x1x1,False,896,927.452000000001,1.0351026785714297,0.928,1.825
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,norm,ir/ops/layernorm.py:43 fused_add_rms_norm,aten::add,"[[1,1],[],[]]","[""float"",""double"",""Scalar""]","void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",1x1x1,128x1x1,False,896,914.1450000000013,1.02025111607143,0.8,1.824
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,norm,model_executor/layers/layernorm.py:151 forward_native,aten::add,"[[5120],[],[]]","[""float"",""double"",""Scalar""]","void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",5x1x1,128x1x1,False,903,909.3680000000004,1.0070520487264678,0.895,1.6
